127.0.0.1 - - [25/Sep/2022:18:24:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:22 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:29 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:38 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:24:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:33 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:36 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:38 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:25:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:26:05 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:26:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:26:36 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:26:50 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:27:07 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:27:30 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:32:21 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:32:26 +0900] "GET /BBS/view.jsp?bbsID=4 HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:32:55 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:32:59 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:40:49 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:40:50 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:40:54 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:40:54 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:40:55 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:47:03 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:47:20 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:47:25 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:47:28 +0900] "GET /BBS/update.jsp?bbsID=11 HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:50:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:50:45 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:50:54 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:50:58 +0900] "GET /BBS/deleteAction.jsp?bbsID=12 HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:50:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:18:51:01 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [25/Sep/2022:19:07:03 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [25/Sep/2022:19:07:04 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 3188
