127.0.0.1 - - [16/Oct/2022:19:03:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:03:47 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:03:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:03:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:03:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:03:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:04:02 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:04:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:04:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:04:05 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:47:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:47:16 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:47:23 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:02 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:03 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:10 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:51 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:51 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:54 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:55 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:58 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:59 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:59 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4395
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:51:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:52:06 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:52:06 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:52:06 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:17 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:17 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:39 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:39 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:39 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:39 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:55:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:56:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:56:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:56:59 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4433
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:56:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:53 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:54 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:57 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:19 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:19 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:20 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:20 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:23 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:24 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:04 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
